지점,위도,경도
689,35.1008,126.8985
690,35.3361,127.1394
691,36.3862,126.9565
692,38.0404,126.9245
693,36.7232,127.4401
694,36.7044,126.6094
695,38.1162,127.432
696,37.3466,129.0861
697,34.2506,125.9183
698,35.0938,126.2851
699,34.9838,126.4611
700,36.1251,125.9682
701,36.0017,127.6684
702,35.9381,126.9925
703,35.7604,127.4374
704,35.621,126.4776
706,35.3102,126.9727
707,35.058,126.2084
708,35.1289,126.7452
709,35.2081,127.4936
710,35.025,126.744
711,34.8971,126.9898
712,34.9035,127.5193
713,34.9751,127.5826
714,34.8791,126.0287
715,34.4731,126.2585
716,34.6307,126.032
717,34.4275,126.3098
718,34.333,126.0365
719,35.8088,126.3977
720,34.1549,126.5499
721,34.339,127.0283
722,35.1368,126.9288
723,34.0279,127.309
724,33.9578,126.3016
725,33.5229,126.9541
726,33.1221,126.2679
727,33.4099,126.3929
729,35.38,127.13
730,35.2794,126.7611
731,34.8167,126.6863
732,34.7619,127.0921
733,36.0461,126.8917
734,35.9855,127.2457
735,35.8942,127.7731
736,35.8468,126.784
737,35.8091,126.8777
738,35.5795,126.6739
739,35.5225,126.5467
741,35.0567,126.9852
742,34.9389,126.3306
743,34.7726,125.9469
744,34.6725,126.4365
745,34.6998,126.7048
746,34.3818,126.5159
747,34.1829,126.858
748,34.8369,127.3631
749,34.5347,127.1272
750,34.6278,127.6357
751,33.4821,126.709
752,33.3046,126.306
753,33.393,126.4959
754,35.0604,126.5273
755,35.1596,127.0853
756,35.6015,126.282
757,35.9744,127.436
758,35.8352,127.5712
759,35.3716,127.5783
760,35.4274,126.9327
761,35.6508,126.9346
762,35.5198,127.1261
763,36.0592,127.062
764,35.6736,127.1414
765,34.8923,127.1345
766,34.8495,127.715
767,34.5885,127.3975
768,35.2889,127.2853
769,35.1993,126.3834
770,34.9286,126.82
771,34.7269,126.1446
772,34.5321,126.2396
774,34.8175,126.4662
775,35.1777,126.6354
776,34.46,126.5571
777,34.5563,126.9346
778,34.7959,126.8218
779,33.3927,126.2581
780,33.2772,126.7044
781,33.5199,126.8777
782,33.3851,126.6194
783,35.2303,126.8408
784,34.8772,126.6126
785,34.4638,126.6763
786,34.6381,127.7741
787,34.5067,127.3172
788,35.1316,126.8813
789,34.8764,126.2929
790,34.5326,127.4674
791,35.2662,127.5838
792,33.3536,126.8168
793,33.241,126.2263
794,35.1007,127.4274
795,35.2753,127.139
796,34.2378,127.2448
797,34.395,125.2995
798,34.6855,125.1924
799,35.2022,126.1376
800,36.7257,129.4437
801,36.625,129.088
802,36.7574,129.3401
803,36.3947,128.8115
804,36.1906,129.3392
805,36.1793,129.0943
806,36.2334,128.2903
807,36.1797,128.6932
808,36.076,129.5667
809,35.9354,127.9792
810,35.9255,128.2985
811,35.863,129.2093
812,35.696,128.2821
813,35.654,128.7318
814,36.9792,128.661
815,36.66,128.4646
816,35.9831,129.5475
817,36.7827,129.2212
818,36.7078,128.1479
819,36.6588,128.8864
820,36.5482,128.5267
822,36.0813,128.1017
823,36.2493,128.5558
824,36.0956,128.5001
825,36.0398,128.3813
826,36.0471,128.79
827,35.8243,128.743
828,35.6902,128.4238
829,35.7121,129.3182
830,36.0689,129.1996
831,37.0401,128.9971
832,36.3907,128.4286
833,36.5383,128.0419
835,36.8932,128.716
836,36.2794,128.896
837,36.8268,128.6429
838,36.7907,128.2705
839,36.4583,128.8954
840,35.9126,128.8144
841,36.0849,128.9111
842,35.7576,129.011
843,36.9361,129.2501
844,36.4355,129.3586
845,35.9084,128.5907
846,35.8651,128.531
847,36.2762,128.4664
848,35.6792,128.8953
849,36.5469,128.3871
850,35.7847,129.4906
851,37.0514,129.3521
852,37.0606,129.426
853,36.0183,128.6213
854,35.4953,129.1336
855,33.1733,126.2683
856,35.1018,127.5982
857,34.3,126.7174
858,34.4296,126.1701
859,35.7549,129.3687
860,35.8852,128.619
861,33.5623,126.7781
862,33.4706,126.7792
863,33.4769,126.4317
864,35.8215,127.155
865,33.4577,126.522
866,33.4302,126.5978
867,33.3769,126.5305
868,33.376,126.498
869,33.3483,126.4964
870,33.3698,126.5557
871,33.3623,126.5181
872,35.3192,127.7564
873,37.2557,127.9702
874,38.1416,127.2197
875,38.1211,128.4606
876,37.45,129.1621
877,37.3134,127.8049
878,37.2238,129.0961
879,37.6605,128.6796
880,33.3328,126.3237
881,35.7295,126.5289
882,35.2518,126.6042
883,33.3623,126.3599
884,33.2593,126.5176
885,33.3314,126.6785
886,35.9505,126.5912
887,36.5033,127.2897
888,36.4627,127.4908
889,37.5004,126.9765
890,33.3854,126.7336
891,33.2913,126.4223
892,33.4501,126.8513
893,33.4659,126.3275
898,35.5048,129.386
899,35.2235,128.5822
900,35.6203,129.1436
901,35.4868,129.4353
902,35.2423,127.819
903,35.4039,128.5149
904,35.137,128.9675
905,35.4414,129.0429
906,35.2324,127.6427
907,34.9321,128.0631
908,35.1122,128.7537
909,34.7877,128.7383
910,35.0661,129.0742
911,34.6489,128.5772
912,35.5263,127.7784
913,34.7238,127.9816
914,35.6376,127.7156
915,35.4135,128.1018
916,35.3111,127.967
917,35.0369,128.0677
918,34.9905,128.3309
919,35.5514,128.4767
920,35.2961,128.3994
921,34.9931,128.8314
922,35.4865,128.9291
923,35.2751,129.2511
924,35.3587,129.3603
925,35.3744,128.823
926,35.1262,128.4748
927,35.582,128.8837
928,35.4162,129.1731
929,35.1137,128.307
930,34.8099,128.2381
931,34.6223,128.2735
932,35.0606,127.7666
933,34.9968,127.8324
934,35.2214,127.9285
935,35.5698,128.3411
937,35.1761,129.1624
938,35.1589,129.0193
939,35.2932,129.1035
940,35.2091,129.0901
941,35.213,129.0026
942,35.1186,129.0884
943,35.6671,129.375
944,35.3852,128.5701
945,35.5345,127.9901
946,35.78,127.8183
947,34.7219,128.5908
948,35.3107,127.8345
949,35.6375,129.4412
950,35.09,128.9839
951,35.5087,126.9073
953,34.9984,128.6798
954,35.431,129.3601
964,34.459,126.8157
965,33.3524,126.533
966,37.1161,126.3856
967,37.1189,126.6128
968,35.081,129.045
969,35.091,129.127
970,38.2016,127.2502
973,35.0233,126.9496
974,35.2444,128.1561
978,37.9546,127.7763
980,33.2599,126.4892
989,33.2579,126.3299
990,33.3182,126.2305
991,35.8028,128.4456
992,35.9062,128.4464
